STOCK;PRODUCTOS;PRECIO;SIN IGV;;;
0;Masilla bonflex;13.00;11.02;;;
0;Masilla madera;4.00;3.39;;;
0;Masilla pared;4.00;3.39;;;
0;Mata todo sapolio;9.00;7.63;;;
0;Ménsula 5*6;4.50;3.81;;;
0;Metro tubo 1/2 hidro;7.00;5.93;;;
0;Metro tubo 1/2 pvc;5.00;4.24;;;
0;Metro tubo 2;5.00;4.24;;;
0;Metro tubo 3/4 hidro;9.00;7.63;;;
0;Metro tubo 3/4 pvc;6.00;4.24;;;
0;Mezcladora;15.00;12.71;;;
0;Mini arco truper;18.00;15.25;;;
0;mini rodillo 4 Truper;7.50;6.36;;;
0;Moldimix;7.00;5.93;;;
0;Mosqueton;3.50;2.97;;;
0;Multimetro digital;22.00;18.64;;;
0;Naylon;5.00;4.24;;;
0;niple 1/2 X 11/2;1.00;0.85;;;
0;Niple 1/2×2;1.20;1.27;;;
0;Niple 1/2×3;4.00;3.39;;;
0;Nivel 10;15.00;12.71;;;
0;Nivel 12;17.00;14.41;;;
0;Nylon 0.5 mm;4.50;3.81;;;
0;Nylon 60mm;5.00;4.24;;;
0;Nylon 80mm;7.50;6.36;;;
0;Nylon transparente;5.00;4.24;;;
0;Oatey  1/32 azul;10.00;10.68;;;
0;Oatey 1/32 dorado;10.00;8.47;;;
0;Oatey 1/64 azul;8.00;6.78;;;
0;Oatey 1/64 dorado;7.50;6.78;;;
0;Oatey dorado 1/4;33.00;25.42;;;
0;Oatey dorado 1/8;23.00;19.49;;;
0;Ocre;7.00;5.93;;;
0;Ocre 200gr;2.00;1.69;;;
0;Pabilo;2.00;1.69;;;
0;Pala tramontina;35.00;29.66;;;
0;Palanca baño bronce;11.00;9.32;;;
0;Palo escoba;3.00;2.54;;;
0;Parche bici;7.00;5.93;;;
0;Pasa cable 5m metal;10.00;8.47;;;
0;Pasa cable pretul;28.00;23.73;;;
0;Pasacable 5m plastico;13.00;11.02;;;
0;Pasta fina cpp;38.00;32.20;;;
0;Patito;1.30;1.10;;;
0;Pegamento 1/32;3.50;2.97;;;
0;Pegamento 1/64;1.50;1.27;;;
0;pegamento Sansón;16.00;13.56;;;
0;Pelacable uyustools;12.00;10.17;;;
0;Perilla repuesto de caño;8.00;6.78;;;
0;Perno anclaje;3.00;2.97;;;
0;Perno taza tanque;3.20;2.71;;;
0;Pernos 5/16;4.00;3.39;;;
0;Pila AA/A;2.00;1.69;;;
0;pila D duracell;17.00;14.41;;;
0;pila D Panasonic;6.00;5.08;;;
0;pila Duracell;7.50;6.36;;;
0;Pintura latex cpp;40.00;33.05;;;
0;Pintura látex oriental;20.00;16.95;;;
0;Pintura pared;20.00;16.95;;;
0;Pintura spray C&A;7.00;5.93;;;
0;Piso bienvenido;12.50;10.59;;;
0;Pistola silicona truper;18.00;15.25;;;
0;Plancha;11.00;9.32;;;
0;Plancha empastar truper;19.00;16.10;;;
0;Plastico;7.50;5.93;;;
0;Plomada 500;22.00;18.64;;;
0;Plomo 40apr x20cm;1.50;1.27;;;
0;Plumon permanente;2.50;2.12;;;
0;Poet 900 ml;3.80;3.22;;;
0;Polvo hormigas;2.00;1.69;;;
0;Prensa 3;18.00;15.25;;;
0;Prensa 5;26.00;22.03;;;
